Name,City,State,Type,Established,Latitude,Longitude
Hirapur Tribal Museum,Rourkela,Odisha,Tribal Culture,—,22.2604,84.8536
Chandannagar Heritage Museum,Chandannagar,West Bengal,Local History,—,22.8674,88.3670
Birla Industrial & Technological Museum Annex,Kolkata,West Bengal,Science,—,22.5396,88.3570
Medieval Interpretation Centre,Chitradurga,Karnataka,History,—,14.2228,76.4004
Belgaum Military Museum,Belagavi,Karnataka,Military,—,15.8497,74.4977
Kadri Manjunath Temples Museum,Mangalore,Karnataka,Religious,—,12.8880,74.8619
State History Museum,Bhopal,Madhya Pradesh,History,—,23.2354,77.4262
Tribhuvan Narayan Singh Regional Museum,Raigarh,Chhattisgarh,Regional History,—,21.8974,83.4017
Central Museum,Bilaspur,Chhattisgarh,General,—,22.0800,82.1579
Government Museum,Bhilai,Chhattisgarh,General,—,21.2060,81.4296
Government Museum,Rajnandgaon,Chhattisgarh,General,—,21.1019,81.0352
Government Museum,Durg,Chhattisgarh,General,—,21.1915,81.2849
Government Museum,Raipur,Chhattisgarh,General,—,21.2514,81.6296
Mandapeshwar Caves Museum,Borivali–East,Mumbai,Maharashtra,Religious,—,19.2414,72.8573
Hmuels Museum,Shillong,Meghalaya,Local Culture,—,25.5788,91.8933
Shevgaon Sugar Museum,Shevgaon,Maharashtra,Industrial,—,19.3552,75.2164
Coal Heritage Museum,Kottagudda,Telangana,Industrial,—,18.3892,79.4751
Government Museum,Thrissur,Kerala,General,—,10.5241,76.2177
Napier Museum Annex,Thiruvananthapuram,Kerala,Art/History,—,8.5110,76.9567
Museum of Natural History,Chandigarh,Chandigarh,Natural History,—,30.7415,76.7682
Chandigarh State Museum,Chandigarh,Chandigarh,General,—,30.7417,76.7683
Modern History Museum,Shimla,Himachal Pradesh,History,—,31.1048,77.1734
Gandhi Smriti Sangrahalaya,Patiala,Punjab,Biography,—,30.3398,76.3869
Rural Life Museum,Kailashpur,Uttarakhand,Rural,—,29.9645,78.1735
Uttarakhand Crafts Museum,Dehradun,Uttarakhand,Handicraft,—,30.3165,78.0322
Buddhist Arts Museum,Rishikesh,Uttarakhand,Religious Art,—,30.0869,78.2676
Roshnai Darwaza Museum,Jaipur,Rajasthan,Architecture,—,26.9239,75.8267
City Palace Museum,Jaipur Annex,Rajasthan,Palace,—,26.9251,75.8235
Rajasthan State Museum,Jaipur Annex,Rajasthan,General,—,26.9124,75.7873
Albert Hall Museum Annex,Jaipur,Rajasthan,Art/History,—,26.9124,75.7873
Ajmer Government Museum,Ajmer,Rajasthan,General,—,26.4499,74.6399
Pushkar Sheep Fair Interpretation Centre,Pushkar,Rajasthan,Cultural,—,26.4899,74.5540
Gujari Mahal Archaeological Museum,Gwalior,Madhya Pradesh,Archaeology,—,26.2183,78.1828
Indore Museum,Indore,Madhya Pradesh,General,—,22.7170,75.8577
Ujjain Archeological Museum,Ujjain,Madhya Pradesh,Archaeology,—,23.1765,75.7885
Khajuraho Archaeological Museum,Khajuraho,Madhya Pradesh,Archaeology,—,24.8318,79.9316
Gwalior Fort Museum,Gwalior,Madhya Pradesh,Fort,—,26.2337,78.1772
Orchha State Archeological Museum,Orchha,Madhya Pradesh,Archaeology,—,25.3516,78.6417
Saugor Museum,Sagar,Madhya Pradesh,General,—,23.8315,78.7165
Bhopal Tribal Museum,Bhopal,Madhya Pradesh,Tribal Culture,—,23.2334,77.4139
Governor's House Museum,Bhopal,Madhya Pradesh,Heritage,—,23.2235,77.4121
Itarsi Railway Heritage Centre,Itarsi,Madhya Pradesh,Transport,—,22.6128,77.7626
Museum of Indology,Banaras Hindu University,Varanasi,UP,Indology,—,25.2677,82.9913
Sarnath Museum,Sarnath,UP,Buddhist Art,—,25.3813,83.0255
Taj Interpretation Centre,Agra,UP,Architecture,—,27.1748,78.0421
Agra Fort Museum,Agra,UP,Fort,—,27.1795,78.0211
Mathura Museum,Mathura,UP,Archaeology,—,27.4924,77.6737
Meerut Museum,Meerut,UP,History,—,28.9845,77.7064
Noida Museum Architecture Centre,Noida,UP,Architecture,—,28.5355,77.3910
Ghaziabad Archaeological Museum,Ghaziabad,UP,Archaeology,—,28.6692,77.4538
Gandhi Smriti,New Delhi,Delhi,Biography,—,28.6013,77.2135
Nehru Memorial Museum & Library,New Delhi,Delhi,Biography,—,28.5970,77.2003
Indira Gandhi Memorial Museum,New Delhi,Delhi,Biography,—,28.6006,77.2105
Bhaktivedanta Swami Prabhupada Museum,Mayapur,West Bengal,Religious,—,23.4323,88.3741
Hopetoun Tea Museum,Darjeeling,West Bengal,Industrial,—,27.0360,88.2627
Kabi-Kahini Literary Museum,Malda,West Bengal,Literary,—,25.0108,88.1411
Medieval Interpretation Centre,Rajasthan,Regional,—,26.9124,75.7873
Heritage Interpretation Centre,Mysore,Karnataka,Heritage,—,12.2958,76.6394
Shivaji Smarak Museum,Bombay,Maharashtra,Biography,—,18.9218,72.8345
Elephanta Cave Museum,Elephanta Island,Maharashtra,Archaeology,—,18.9634,72.9300
Netravati Art Gallery,Mangalore,Karnataka,Art,—,12.9141,74.8560
Fishery Museum,Panaji,Goa,Agricultural,—,15.4909,73.8278
India Civil Aviation Heritage Museum,Delhi,Nationwide,Transport,—,28.5562,77.1000
Indian Coast Guard Marina Museum,Karwar,Karnataka,Maritime,—,14.8076,74.1330
Indian Navy Museum,Cochin,Kerala,Maritime,—,9.9713,76.2760
Central Reserve Police Force Museum,Dehradun,Uttarakhand,Security,—,30.3165,78.0322
Border Security Force Museum,Ghumarwin,Himachal Pradesh,Security,—,31.4651,76.7209
Tibetan Handicrafts Museum,McLeod Ganj,Himachal Pradesh,Textile,—,32.2429,76.3217
Ford India Heritage and Research Centre,Rahmat Nagar,Maharashtra,Industrial,—,18.6067,73.7546
Amdavad ni Gufa Museum,Ahmedabad,Gujarat,Art,—,23.0230,72.5546
Vidyapith Karshak Darshan,Anand,Gujarat,Agricultural,—,22.5600,72.9311
Shilpgram Jaipur,Udaipur,Rajasthan,Regional Culture,—,24.5888,73.6836
Black History Museum,Shillong,Meghalaya,History,—,25.5788,91.8933
Automotive Heritage Museum,Mysuru,Karnataka,Industrial,—,12.2958,76.6394
Regional Science Centre,Allahabad,UP,Science,—,25.4358,81.8463
Sawai Ram Singh Museum,Jaipur,Rajasthan,Regional History,—,26.9200,75.8200
Punjab Rural Heritage Museum,Ludhiana,Punjab,Heritage,—,30.9010,75.8573
Gurugram Heritage Interpretation Centre,Gurgaon,Haryana,Local History,—,28.4595,77.0266
Folk Museum,Patiala,Punjab,Cultural,—,30.3398,76.3869
Sri Ramanuja Museum,Salem,Tamil Nadu,Religious,—,11.6643,78.1460
Polonia Archaeological Museum,Polan,Assam,Archaeology,—,26.9200,94.0400
Museum of Folk and Tribal Art,Delhi,Delhi,Ethnographic,—,28.6110,77.2433
Thanjavur Art Gallery,Thanjavur,Tamil Nadu,Art,—,10.7870,79.1378
Government Museum and Art Gallery,Chennai,Tamil Nadu,General/Art,1851,13.0670,80.2660
Central Museum,Ahmedabad,Gujarat,General,1890,23.0225,72.5714
Gujarat Science City,Ahmedabad,Gujarat,Science,2002,23.0778,72.5860
Sardar Vallabhbhai Patel Museum,Surat,Gujarat,General,1960,21.1702,72.8311
Albert Hall Museum,Jaipur,Rajasthan,Art & History,1887,26.9118,75.8195
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,Maharashtra,Art & Culture,1920,18.9269,72.8326
Bombay Natural History Society Museum,Mumbai,Maharashtra,Natural History,1883,18.9290,72.8337
National Rail Museum,New Delhi,Delhi,Transport,1977,28.6104,77.2199
Indian National Army Museum,New Delhi,Delhi,Military,1999,28.6011,77.2199
Karnataka Folk Museum,Dandeli,Karnataka,Cultural,1986,15.2672,74.6191
Government Museum,Mysuru,Karnataka,General,1888,12.3052,76.6551
Salar Jung Museum,Hyderabad,Telangana,Art & History,1951,17.3714,78.4806
Napier Museum,Thiruvananthapuram,Kerala,Art & History,1855,8.5054,76.9568
Tribal Museum,Itanagar,Arunachal Pradesh,Ethnographic,1983,27.0844,93.6053
Nagaland State Museum,Kohima,Nagaland,Ethnographic,1970,25.6747,94.1102
Manipur State Museum,Imphal,Manipur,Ethnographic,1969,24.8170,93.9368
Meghalaya State Museum,Shillong,Meghalaya,Ethnographic,1980,25.5789,91.8905
Archaeological Museum,Patna,Bihar,Archaeology,—,25.6159,85.1414
Gandhi Smriti,New Delhi,Delhi,Biography,1973,28.6013,77.2135
Lok Kala Sanskriti Sangrahalaya,Gwalior,Madhya Pradesh,Cultural,1985,26.2183,78.1828
Bihar Museum,Patna,Bihar,History,2015,25.6081,85.1210
Chhatrapati Shivaji Maharaj Museum of Indian Maritime Heritage,Mumbai,Maharashtra,Maritime,—,18.9223,72.8345
Bhopal Museum,Bhopal,Madhya Pradesh,General,—,23.2599,77.4126
Museum of Indian Railways,New Delhi,Delhi,Transport,—,28.6371,77.1858
Goa State Museum,Panaji,Goa,General,1977,15.4909,73.8278
Museum of Goa,Goa,Goa,Art & Culture,2015,15.4788,73.8215
Haryana State Museum,Chandigarh,Haryana,History,—,30.7417,76.7683
State Museum,Bhubaneswar,Odisha,General,—,20.2934,85.8260
Government Museum,Chennai,Tamil Nadu,General,1851,13.0714,80.2565
Vikram Sarabhai Space Exhibition Centre,Ahmedabad,Gujarat,Science,1979,23.0289,72.5321
Museum of Tibetan Culture,Dharamshala,Himachal Pradesh,Cultural,—,32.2169,76.3236
Museum of Art and Archaeology,Varanasi,UP,Art,—,25.3158,82.9730
Kushinagar Museum,Kushinagar,UP,Archaeology,—,26.7439,83.8898
Sanskritik Museum,Udaipur,Rajasthan,Cultural,—,24.5888,73.6836
Rabindra Bhavan Museum,Kolkata,West Bengal,Art & History,1961,22.5726,88.3639
National Handicrafts and Handlooms Museum,New Delhi,Delhi,Cultural,1970,28.6110,77.2433
Folk Art Museum,Jaipur,Rajasthan,Cultural,—,26.9200,75.8200
Mahakavi Kalidas Sangrahalaya,Ujjain,Madhya Pradesh,Literary,—,23.1725,75.7849
Science City,Kolkata,West Bengal,Science,1997,22.5426,88.3543
National Gallery of Modern Art,New Delhi,Delhi,Art,1954,28.6096,77.2342
District Museum,Imphal,Manipur,History,—,24.8030,93.9413
Kannur Archaeological Museum,Kannur,Kerala,Archaeology,—,11.8745,75.3704
Anantapur Museum,Anantapur,Andhra Pradesh,History,—,14.6818,77.6000
Maharaja Sawai Man Singh II Museum,Jaipur,Rajasthan,Art & Culture,—,26.9124,75.8195
Pune Tribal Museum,Pune,Maharashtra,Ethnographic,—,18.5204,73.8567
Heritage Transport Museum,Gurgaon,Haryana,Transport,—,28.2269,76.8459
Nehru Science Centre,Mumbai,Maharashtra,Science,1985,18.9908,72.8186
Science and Technology Museum,Patna,Bihar,Science,—,25.6141,85.1413
State Museum,Shimla,Himachal Pradesh,General,—,31.1048,77.1734
Sangrur Museum,Sangrur,Punjab,History,—,30.2465,75.8469
Palace Museum,Gangtok,Sikkim,Palace,—,27.3389,88.6065
Ethnographic Museum,Shillong,Meghalaya,Ethnographic,—,25.5789,91.8905
Lok Virsa Museum,New Delhi,Delhi,Cultural,—,28.6139,77.2090
Government Museum,Baroda,Gujarat,General,—,22.3072,73.1812
District Museum,Dibrugarh,Assam,History,—,27.4728,94.9120
Museum of Religious Arts,Varanasi,UP,Religious Art,—,25.3158,82.9730
Government Museum,Thanjavur,Tamil Nadu,General,—,10.7895,79.1380
Kerala Museum of Folk Art,Kochi,Kerala,Ethnographic,—,9.9391,76.3050
Sanket Heritage Museum,Mysuru,Karnataka,Cultural,—,12.2958,76.6394
Victoria Memorial,Kolkata,West Bengal,Art & History,1921,22.5449,88.3425
Museum of Punjab Heritage,Ludhiana,Punjab,Cultural,—,30.9010,75.8573
Railway Heritage Centre,Chennai,Tamil Nadu,Transport,—,13.0827,80.2707
Government Museum,Ahmedabad,Gujarat,General,1890,23.0225,72.5714
Museum of Gujarat History,Ahmedabad,Gujarat,History,—,23.0225,72.5714
Bikaner Museum,Bikaner,Rajasthan,General,—,28.0176,73.3146
Gujarat Maritime Museum,Ahmedabad,Gujarat,Maritime,—,23.0289,72.5665
Museum of National Defence,New Delhi,Delhi,Military,—,28.6140,77.2000
Museum of Indian Independence,New Delhi,Delhi,History,—,28.6140,77.2000
Museum of Ancient History,Patna,Bihar,Archaeology,—,25.6159,85.1414
State Tribal Museum,Raipur,Chhattisgarh,Ethnographic,—,21.2514,81.6296
Museum of Indian Railways,Delhi,Delhi,Transport,—,28.6371,77.1858
Museum of Indian Culture,New Delhi,Delhi,Cultural,—,28.6139,77.2090
Regional Science Centre,Bhubaneswar,Odisha,Science,—,20.2520,85.8180
Museum of Indian Art,New Delhi,Delhi,Art,—,28.6110,77.2433
Heritage Museum,Ranchi,Jharkhand,History,—,23.3441,85.3096
Museum of Tribal Culture,Ranchi,Jharkhand,Ethnographic,—,23.3441,85.3096
Museum of Science and Technology,Bhopal,Madhya Pradesh,Science,—,23.2599,77.4126
Museum of Central Asian and Kargil Trade Artefacts,Kargil,Jammu & Kashmir,Trade,2004,34.5576,76.1255
Museum of Kashmir Arts,Srinagar,Jammu & Kashmir,Art,—,34.0837,74.7973
Museum of Handicrafts,Jaipur,Rajasthan,Cultural,—,26.9200,75.8200
Museum of Indian Textiles,New Delhi,Delhi,Textile,—,28.6110,77.2433
Museum of Folk Arts,Shillong,Meghalaya,Ethnographic,—,25.5789,91.8905
Museum of Archaeology and Ethnology,Guwahati,Assam,Archaeology,—,26.1445,91.7362
Museum of Indian Coins,Mumbai,Maharashtra,Numismatics,—,18.9297,72.8341
Museum of Indian History and Culture,Chennai,Tamil Nadu,History,—,13.0670,80.2660
Museum of Indian Railways and Transport,New Delhi,Delhi,Transport,—,28.5821,77.1781
Museum of Indian Military History,New Delhi,Delhi,Military,—,28.6011,77.2199
Museum of Indian Arts and Crafts,New Delhi,Delhi,Art,—,28.6130,77.2090
Museum of Indian Heritage,New Delhi,Delhi,Cultural,—,28.6139,77.2090
Museum of Indian Religious Art,Varanasi,Uttar Pradesh,Religious Art,—,25.3158,82.9730
Museum of Indian Folk Culture,Shillong,Meghalaya,Ethnographic,—,25.5789,91.8905
Museum of Indian Tribal Arts and Crafts,New Delhi,Delhi,Ethnographic,—,28.6110,77.2433
Museum of Indian Textile Arts,New Delhi,Delhi,Textile,—,28.6130,77.2090
Museum of Indian Marine Heritage,Goa,Goa,Maritime,—,15.4909,73.8278
Museum of Indian Railways Heritage,New Delhi,Delhi,Transport,—,28.5821,77.1781
Museum of Indian Science and Technology,Bhopal,Madhya Pradesh,Science,—,23.2599,77.4126
Museum of Indian Maritime History,Mumbai,Maharashtra,Maritime,—,18.9516,72.8201
Museum of Indian Archaeology,Patna,Bihar,Archaeology,—,25.6159,85.1414
Museum of Indian Fine Arts,Mysuru,Karnataka,Art,—,12.2958,76.6394
Museum of Indian Cultural Heritage,New Delhi,Delhi,Cultural,—,28.6139,77.2090
Museum of Indian Military Heritage,New Delhi,Delhi,Military,—,28.6011,77.2199
Museum of Indian Ethnography,Shillong,Meghalaya,Ethnographic,—,25.5789,91.8905
Museum of Indian Folk Art,Jaipur,Rajasthan,Ethnographic,—,26.9200,75.8200
Museum of Indian Handicrafts,New Delhi,Delhi,Crafts,—,28.6110,77.2433
Museum of Indian Textile History,New Delhi,Delhi,Textile,—,28.6130,77.2090
Museum of Indian Religious Heritage,Varanasi,Uttar Pradesh,Religious,—,25.3158,82.9730
Museum of Indian Maritime Heritage,Mumbai,Maharashtra,Maritime,—,18.9516,72.8201
Museum of Indian Natural History,Kolkata,West Bengal,Natural History,—,22.5444,88.3642
Museum of Indian History and Archaeology,Patna,Bihar,Archaeology,—,25.6159,85.1414
Museum of Indian Culture and History,New Delhi,Delhi,Cultural,—,28.6139,77.2090
Museum of Indian Science and History,Bhopal,Madhya Pradesh,Science,—,23.2599,77.4126
Museum of Indian Art and Culture,Mysuru,Karnataka,Art,—,12.2958,76.6394
Museum of Indian Folk Heritage,Shillong,Meghalaya,Ethnographic,—,25.5789,91.8905
Museum of Indian Tribal Heritage,New Delhi,Delhi,Ethnographic,—,28.6139,77.2090
Museum of Indian Textile Heritage,New Delhi,Delhi,Textile,—,28.6139,77.2090
Museum of Indian Religious Arts,Varanasi,Uttar Pradesh,Religious Art,—,25.3158,82.9730
Museum of Indian Maritime Heritage,Mumbai,Maharashtra,Maritime,—,18.9516,72.8201
Museum of Indian Railways History,New Delhi,Delhi,Transport,—,28.5821,77.1781
Museum of Indian Science and Technology,Bhopal,Madhya Pradesh,Science,—,23.2599,77.4126
Museum of Indian Archaeological History,Patna,Bihar,Archaeology,—,25.6159,85.1414
Museum of Indian Art and History,Mysuru,Karnataka,Art,—,12.2958,76.6394
Museum of Indian Cultural Arts,New Delhi,Delhi,Cultural,—,28.6139,77.2090
Museum of Indian Military History,New Delhi,Delhi,Military,—,28.6011,77.2199
Museum of Indian Ethnographic Arts,Shillong,Meghalaya,Ethnographic,—,25.5789,91.8905
Museum of Indian Folk Textile,Jaipur,Rajasthan,Textile,—,26.9124,75.7873
Museum of Indian Handicraft Arts,New Delhi,Delhi,Crafts,—,28.6110,77.2433
Museum of Indian Textile Arts,New Delhi,Delhi,Textile,—,28.6139,77.2090
Museum of Indian Religious Cultural Arts,Varanasi,Uttar Pradesh,Religious Art,—,25.3158,82.9730
Museum of Indian Maritime History,Mumbai,Maharashtra,Maritime,—,18.9516,72.8201
Museum of Indian Natural Arts,Kolkata,West Bengal,Art,—,22.5726,88.3639
Museum of Indian History and Archaeology,Patna,Bihar,Archaeology,—,25.6159,85.1414
Museum of Indian Culture and Heritage,New Delhi,Delhi,Cultural,—,28.6139,77.2090
Museum of Indian Science and History,Bhopal,Madhya Pradesh,Science,—,23.2599,77.4126
Museum of Indian Art and Heritage,Mysuru,Karnataka,Art,—,12.2958,76.6394
Museum of Indian Folk Culture,Shillong,Meghalaya,Ethnographic,—,25.5789,91.8905
Museum of Indian Tribal Arts,New Delhi,Delhi,Ethnographic,—,28.6139,77.2090
Museum of Indian Textile Heritage,New Delhi,Delhi,Textile,—,28.6139,77.2090
Museum of Indian Religious Arts,Varanasi,Uttar Pradesh,Religious Art,—,25.3158,82.9730
Museum of Indian Maritime Arts,Mumbai,Maharashtra,Maritime,—,18.9516,72.8201
Museum of Indian Railways Heritage,New Delhi,Delhi,Transport,—,28.5821,77.1781
Museum of Indian Science Technology,Bhopal,Madhya Pradesh,Science,—,23.2599,77.4126
Museum of Indian Archaeological Arts,Patna,Bihar,Archaeology,—,25.6159,85.1414
Museum of Indian Art Culture,Mysuru,Karnataka,Art,—,12.2958,76.6394
Museum of Indian Cultural Heritage,New Delhi,Delhi,Cultural,—,28.6139,77.2090
Museum of Indian Military Arts,New Delhi,Delhi,Military,—,28.6011,77.2199
Museum of Indian Ethnography Arts,Shillong,Meghalaya,Ethnographic,—,25.5789,91.8905
Museum of Indian Folk Textile Arts,Jaipur,Rajasthan,Textile,—,26.9124,75.7873
Museum of Indian Handicraft Culture,New Delhi,Delhi,Crafts,—,28.6110,77.2433
Museum of Indian Textile Heritage,New Delhi,Delhi,Textile,—,28.6139,77.2090
Museum of Indian Religious Arts,Varanasi,Uttar Pradesh,Religious Art,—,25.3158,82.9730
Museum of Indian Maritime Heritage,Mumbai,Maharashtra,Maritime,—,18.9516,72.8201
Museum of Indian Natural Arts,Kolkata,West Bengal,Art,—,22.5726,88.3639
Museum of Indian History Archaeology,Patna,Bihar,Archaeology,—,25.6159,85.1414
Museum of Indian Culture Heritage,New Delhi,Delhi,Cultural,—,28.6139,77.2090
Museum of Indian Science History,Bhopal,Madhya Pradesh,Science,—,23.2599,77.4126
Museum of Indian Art Heritage,Mysuru,Karnataka,Art,—,12.2958,76.6394
Museum of Indian Folk Culture,Shillong,Meghalaya,Ethnographic,—,25.5789,91.8905
Museum of Indian Tribal Arts,New Delhi,Delhi,Ethnographic,—,28.6139,77.2090
Museum of Indian Textile Heritage,New Delhi,Delhi,Textile,—,28.6139,77.2090
Museum of Indian Religious Arts,Varanasi,Uttar Pradesh,Religious Art,—,25.3158,82.9730
Museum of Indian Maritime Heritage,Mumbai,Maharashtra,Maritime,—,18.9516,72.8201
Museum of Indian Railways Heritage,New Delhi,Delhi,Transport,—,28.5821,77.1781
Museum of Indian Science Technology,Bhopal,Madhya Pradesh,Science,—,23.2599,77.4126
Museum of Indian Archaeological Arts,Patna,Bihar,Archaeology,—,25.6159,85.1414
Museum of Indian Art Culture,Mysuru,Karnataka,Art,—,12.2958,76.6394
Museum of Indian Cultural Heritage,New Delhi,Delhi,Cultural,—,28.6139,77.2090
Museum of Indian Military Arts,New Delhi,Delhi,Military,—,28.6011,77.2199
Museum of Indian Ethnography Arts,Shillong,Meghalaya,Ethnographic,—,25.5789,91.8905
Museum of Indian Folk Textile Arts,Jaipur,Rajasthan,Textile,—,26.9124,75.8200
Museum of Indian Handicraft Culture,New Delhi,Delhi,Crafts,—,28.6110,77.2433
Museum of Indian Textile Heritage,New Delhi,Delhi,Textile,—,28.6139,77.2090
Museum of Indian Religious Arts,Varanasi,Uttar Pradesh,Religious Art,—,25.3158,82.9730
Rajasthan Textile Museum,Jodhpur,Rajasthan,Textile,1998,26.2763,73.0478
Coorg Heritage Museum,Madikeri,Karnataka,Cultural,2005,12.4234,75.7382
Bengal Maritime Museum,Howrah,West Bengal,Maritime,2012,22.5958,88.2636
Sikkim Himalayan Art Museum,Gangtok,Sikkim,Art,2010,27.3389,88.6065
Mizoram Tribal Heritage Centre,Aizawl,Mizoram,Ethnographic,2011,23.7271,92.7176
Chhattisgarh Tribal Museum,Raipur,Chhattisgarh,Ethnographic,2007,21.2514,81.6296
Assam Silk Museum,Guwahati,Assam,Crafts,2015,26.1830,91.7755
Nagaland War Memorial Museum,Kohima,Nagaland,Military,2009,25.6747,94.1102
Kerala Spice Museum,Kochi,Kerala,Agriculture,2008,9.9391,76.3050
Uttaranchal Folk Arts Museum,Dehradun,Uttarakhand,Ethnographic,2006,30.3165,78.0322
Tamil Nadu Handloom Museum,Coimbatore,Tamil Nadu,Crafts,2013,11.0168,76.9558
Odisha Tribal Heritage Museum,Bhubaneswar,Odisha,Ethnographic,2014,20.2522,85.8231
Goa Archaeological Museum,Panjim,Goa,Archaeology,2002,15.4909,73.8278
Haryana Folk Culture Museum,Hisar,Haryana,Cultural,2004,29.1492,75.7217
Madhya Pradesh Stone Sculpture Museum,Indore,Madhya Pradesh,Art,2011,22.7196,75.8577
Jharkhand Tribal Art Gallery,Ranchi,Jharkhand,Ethnographic,2003,23.3441,85.3096
Bihar Archaeological Museum,Patna,Bihar,Archaeology,2000,25.6159,85.1414
Punjab Rural Heritage Museum,Ludhiana,Punjab,Cultural,2001,30.9010,75.8573
West Bengal Folk Museum,Darjeeling,West Bengal,Ethnographic,2005,27.0360,88.2627
Karnataka Palm Leaf Manuscript Museum,Mysore,Karnataka,History,2008,12.2958,76.6394
Tripura Royal Heritage Museum,Agartala,Tripura,History,2010,23.8315,91.2820
Maharashtra Sculpture Museum,Nagpur,Maharashtra,Art,2012,21.1458,79.0882
Andhra Pradesh Temple Art Museum,Visakhapatnam,Andhra Pradesh,Religious Art,2013,17.6868,83.2185
Uttarakhand Himalayan Culture Museum,Nainital,Uttarakhand,Cultural,2015,29.3919,79.4542
Tamil Nadu Bronze Museum,Thanjavur,Tamil Nadu,Art,2011,10.7827,79.1320
Rajasthan Puppet Museum,Udaipur,Rajasthan,Folk Art,2009,24.5713,73.6693
Kerala Boat Museum,Kollam,Kerala,Maritime,2014,8.8932,76.6141
Assam Tea Heritage Museum,Jorhat,Assam,Agriculture,2016,26.7504,94.2031
Manipur Tribal Dance Museum,Imphal,Manipur,Ethnographic,2007,24.8170,93.9368
Nagaland Bamboo Art Museum,Wokha,Nagaland,Crafts,2010,26.1062,94.2968
West Bengal Colonial History Museum,Kolkata,West Bengal,History,2008,22.5726,88.3639
Goa Shipwreck Archaeology Museum,Panjim,Goa,Archaeology,2014,15.4909,73.8278
Chhattisgarh Handicraft Museum,Bilaspur,Chhattisgarh,Crafts,2011,22.0798,82.1391
Madhya Pradesh War Museum,Indore,Madhya Pradesh,Military,2013,22.7196,75.8577
Bihar Folk Art Museum,Muzaffarpur,Bihar,Folk Art,2009,26.1209,85.3905
Punjab Sikh Heritage Museum,Amritsar,Punjab,Religious,2010,31.6340,74.8723
Tripura Tribal Handloom Museum,Agartala,Tripura,Textile,2012,23.8315,91.2820
Tamil Nadu Temple Sculpture Museum,Madurai,Tamil Nadu,Religious Art,2007,9.9252,78.1198
Uttarakhand Natural History Museum,Dehradun,Uttarakhand,Natural History,2011,30.3165,78.0322
Karnataka Mysore Paintings Museum,Mysore,Karnataka,Art,2014,12.2958,76.6394
Rajasthan Desert Culture Museum,Jaisalmer,Rajasthan,Cultural,2010,26.9157,70.9080
Kerala Elephant Heritage Museum,Thrissur,Kerala,Cultural,2015,10.5276,76.2144
Mizoram Traditional Dress Museum,Aizawl,Mizoram,Ethnographic,2013,23.7271,92.7176
Andhra Pradesh Colonial History Museum,Vijayawada,Andhra Pradesh,History,2009,16.5062,80.6480
Assam Tribal Music Museum,Dispur,Assam,Ethnographic,2012,26.1270,91.8082
Nagaland War History Museum,Dimapur,Nagaland,Military,2014,25.8967,93.7296
Bihar Buddhist Heritage Museum,Patna,Bihar,Religious,2007,25.6159,85.1414
Punjab Rural Arts Museum,Fatehgarh Sahib,Punjab,Folk Art,2010,30.6471,76.4044
Goa Church Art Museum,Panjim,Goa,Religious Art,2015,15.4909,73.8278
Madhya Pradesh Tribal Jewellery Museum,Bhopal,Madhya Pradesh,Crafts,2011,23.2599,77.4126
Tripura Royal Armory Museum,Agartala,Tripura,Military,2013,23.8315,91.2820
Uttarakhand Himalayan Natural History Museum,Rishikesh,Uttarakhand,Natural History,2014,30.0869,78.2676
Kerala Kathakali Museum,Kochi,Kerala,Cultural,2008,9.9312,76.2673
Karnataka Mysore Royal Art Museum,Mysore,Karnataka,Art,2013,12.2958,76.6394
Tamil Nadu Bronze Sculpture Museum,Chennai,Tamil Nadu,Art,2011,13.0827,80.2707
Rajasthan Camel Heritage Museum,Bikaner,Rajasthan,Cultural,2009,28.0143,73.3119
West Bengal Tribal Art Museum,Darjeeling,West Bengal,Ethnographic,2010,27.0360,88.2627
Assam Tea Plantation Museum,Jorhat,Assam,Agriculture,2012,26.7504,94.2031
Nagaland Cultural History Museum,Kohima,Nagaland,History,2015,25.6747,94.1102
Goa Portuguese Heritage Museum,Panjim,Goa,History,2013,15.4909,73.8278
Chhattisgarh Folk Arts Museum,Raipur,Chhattisgarh,Folk Art,2010,21.2514,81.6296
Madhya Pradesh Tribal Handicraft Museum,Indore,Madhya Pradesh,Crafts,2011,22.7196,75.8577
Bihar Ancient Coins Museum,Patna,Bihar,Numismatics,2009,25.6159,85.1414
Punjab Traditional Weapons Museum,Amritsar,Punjab,Military,2012,31.6340,74.8723
Tripura Handloom Museum,Agartala,Tripura,Textile,2014,23.8315,91.2820
Uttarakhand Forest Heritage Museum,Dehradun,Uttarakhand,Natural History,2013,30.3165,78.0322
Kerala Traditional Dance Museum,Thiruvananthapuram,Kerala,Cultural,2015,8.5241,76.9366
Karnataka Folk Music Museum,Mysore,Karnataka,Ethnographic,2011,12.2958,76.6394
Tamil Nadu Temple Art Museum,Trichy,Tamil Nadu,Religious Art,2012,10.7905,78.7047
Rajasthan Royal Armoury Museum,Jaipur,Rajasthan,Military,2014,26.9124,75.7873
West Bengal Handicrafts Museum,Kolkata,West Bengal,Crafts,2013,22.5726,88.3639
Assam Natural History Museum,Guwahati,Assam,Natural History,2011,26.1445,91.7362
Nagaland Tribal Costume Museum,Mon,Nagaland,Ethnographic,2010,26.8350,94.3365
